* Generated by rew_pipeline.py (source UUID 3cad11fd-e3fa-4108-9c9c-d820def9f39f, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000021 s))
* Measurement: R.filtered.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:47
* Note: ; Trace Arithmetic A times B A = R.nofdw.120.green.multipos.fdw6 B = FRX-trimmed.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
143.737793 73.159 0.3510
143.920898 72.987 -0.2373
144.104004 72.845 -0.4741
144.287109 72.729 -0.6139
144.470215 72.599 -0.7122
144.653320 72.436 -0.5648
144.836426 72.272 -0.0001
145.019531 72.155 0.8186
145.202637 72.094 1.4749
145.385742 72.041 1.7249
145.568848 71.945 1.7575
145.751953 71.807 1.9979
145.935059 71.685 2.6837
146.118164 71.640 3.6224
146.301270 71.673 4.3933
146.484375 71.734 4.7743
146.667480 71.775 4.8872
146.850586 71.786 4.9797
147.033691 71.786 5.1712
147.216797 71.789 5.4197
147.399902 71.793 5.6746
147.583008 71.789 5.9815
147.766113 71.784 6.4129
147.949219 71.790 6.9507
148.132324 71.810 7.5031
148.315430 71.833 8.0298
148.498535 71.862 8.5732
148.681641 71.918 9.1163
148.864746 72.021 9.4661
149.047852 72.151 9.3849
149.230957 72.264 8.8752
149.414062 72.327 8.2653
149.597168 72.362 7.9566
149.780273 72.426 8.0389
149.963379 72.551 8.1639
150.146484 72.695 7.9057
150.329590 72.774 7.2409
150.512695 72.741 6.6020
150.695801 72.636 6.4767
150.878906 72.558 6.9034
151.062012 72.575 7.3400
151.245117 72.659 7.1785
151.428223 72.722 6.3664
151.611328 72.713 5.4141
151.794434 72.662 4.8942
151.977539 72.639 4.9472
152.160645 72.682 5.2329
152.343750 72.752 5.3931
152.526855 72.791 5.4683
152.709961 72.789 5.7689
152.893066 72.804 6.4049
153.076172 72.887 7.0329
153.259277 73.022 7.1774
153.442383 73.136 6.7709
153.625488 73.186 6.2525
153.808594 73.201 6.1533
153.991699 73.259 6.5904
154.174805 73.407 7.1407
154.357910 73.608 7.2794
